Month,Channel,Visits,BounceRate,ConversionRate
1/1/2023,google ads,46037,50,0.0332
1/1/2023,Meta Ads,1000,56.6,4.65
1/1/2023,Instagram,28616,0.45,1.01
1/1/2023,email,37783,49.8,1.75
1/1/2023,Direct,15108,36.6,2.42
1/1/2023,SEO,52336,0.58,3.49
2/1/2023,GoogleAds,14098,57.8,1.6
2/1/2023,Facebook,30695,45.2,1.81
2/1/2023,instagram,44541,0.61,0.0322
2/1/2023,Email,54548,0.65,4.99
2/1/2023,direct,77338,0.61,0.0393
2/1/2023,organic,33639,55.3,1.46
3/1/2023,Google Ads,90104,63.5,3.05
3/1/2023,Facebook,38405,52.6,0.0153
3/1/2023,Instagram,77048,0.63,2.58
3/1/2023,Email,22686,0.47,3.72
3/1/2023,Direct,18801,0.48,0.0104
3/1/2023,Organic,46462,43.3,0.0105
4/1/2023,Google Ads,64041,0.49,0.0141
4/1/2023,Facebook,60065,62.8,0.0351
4/1/2023,Instagram,58943,48.4,0.0083
4/1/2023,email,87350,0.44,0.0359
4/1/2023,direct,45547,57.8,0.0499
4/1/2023,SEO,69160,44.3,4.52
5/1/2023,Google Ads,21137,0.42,0.0261
5/1/2023,Facebook,63820,0.63,0.0141
5/1/2023,Instagram,33377,0.54,0.0407
5/1/2023,email,47727,0.49,1.83
5/1/2023,direct,66167,0.54,0.0466
5/1/2023,SEO,42297,0.57,0.0271
6/1/2023,google ads,45092,55.2,2.51
6/1/2023,Facebook,48981,0.44,0.0131
6/1/2023,Instagram,39487,0.4,3.28
6/1/2023,Email,14660,50,1.24
6/1/2023,Direct,72282,0.53,2.79
6/1/2023,Organic,63857,60.7,0.0104
7/1/2023,google ads,29611,0.36,4.11
7/1/2023,facebook,22288,0.64,4.64
7/1/2023,instagram,51178,64.6,2.68
7/1/2023,email,46039,48.2,2.16
7/1/2023,Direct,22759,0.64,4.32
7/1/2023,Organic,8585,63.8,0.0147
8/1/2023,Google Ads,31968,0.55,0.0384
8/1/2023,Meta Ads,24518,51,0.0164
8/1/2023,instagram,36632,0.49,0.0291
8/1/2023,direct,3670,41.3,2.43
8/1/2023,organic,12851,41.6,0.0403
9/1/2023,Google Ads,30761,36.5,0.0436
9/1/2023,Meta Ads,48075,36.8,2.27
